Date,Open,High,Low,Close,Volume
2015-07-06,755,760,735,740,24315400
2015-07-07,740,745,695,700,48893700
2015-07-08,695,705,655,655,55760600
2015-07-09,650,665,605,630,117369100
2015-07-10,635,655,620,635,59980300
2015-07-13,640,645,610,620,36732400
2015-07-14,620,625,580,585,78181500
2015-07-15,590,605,585,595,56210600
2015-07-22,600,600,560,575,89347100
2015-07-23,580,600,575,595,73346000
2015-07-24,590,595,555,560,62430800
2015-07-27,560,575,550,555,38267800
2015-07-28,565,600,550,600,92650400
2015-07-29,600,615,575,590,122011200
2015-07-30,600,600,580,585,44238800
2015-07-31,590,595,580,590,61646400
2015-08-03,590,595,560,570,42026900
2015-08-04,570,600,565,590,72399600
2015-08-05,595,610,585,600,107959100
2015-08-06,600,600,590,595,64433800
2015-08-07,595,595,575,580,22768100
2015-08-10,580,580,560,565,22817900
2015-08-11,570,580,520,530,71443900
2015-08-12,505,505,471,485,114793200
2015-08-13,491,505,489,498,50000000
2015-08-14,505,505,490,500,18192900
2015-08-18,492,500,484,487,39256100
2015-08-19,497,500,484,486,25187000
2015-08-20,491,491,480,484,21489600
2015-08-21,484,495,472,490,41183000
2015-08-24,480,480,467,474,27343100
2015-08-25,468,585,468,545,104636200
2015-08-26,540,580,520,540,79913600
2015-08-27,555,590,545,590,133914400
2015-08-28,605,650,600,620,113459700
2015-08-31,625,635,590,595,83799700
2015-09-01,595,620,575,575,48381200
2015-09-02,565,615,555,610,54742600
2015-09-03,620,630,610,620,29831600
2015-09-04,620,620,570,580,26990500
2015-09-07,580,595,555,555,13476500
2015-09-08,555,585,555,570,18473500
2015-09-09,580,595,575,580,55359600
2015-09-10,570,570,540,540,70379600
2015-09-11,550,565,545,565,39508500
2015-09-14,575,585,565,570,32968200
2015-09-15,575,580,560,580,20795300
2015-09-16,590,590,565,570,21934600
2015-09-17,585,590,575,585,28647000
2015-09-18,585,610,580,600,52793000
2015-09-21,590,610,585,600,18031000
2015-09-22,605,615,590,595,31076200
2015-09-23,590,595,570,580,35778500
2015-09-25,580,585,565,585,20845800
2015-09-28,585,590,550,550,25683000
2015-09-29,525,540,510,535,43829100
2015-09-30,520,540,515,535,50832400
2015-10-01,515,545,515,530,41875400
2015-10-02,525,530,515,520,37995400
2015-10-05,525,540,525,535,71060000
2015-10-06,545,570,540,560,105348100
2015-10-07,570,630,570,615,113588900
2015-10-08,620,625,590,620,54064100
2015-10-09,635,710,635,680,139746400
2015-10-12,685,705,680,700,69745500
2015-10-13,695,695,635,635,64542200
2015-10-15,635,665,620,640,50511700
2015-10-16,650,675,620,640,83794500
2015-10-19,650,660,635,645,41242600
2015-10-20,640,695,640,670,65585400
2015-10-21,685,695,645,650,40118100
2015-10-22,650,655,630,635,20833800
2015-10-23,650,675,645,670,41685800
2015-10-26,675,680,660,680,29360000
2015-10-27,675,675,650,665,26559300
2015-10-28,650,660,645,650,46403400
2015-10-29,650,660,605,615,52195800
2015-10-30,610,620,585,595,56685100
2015-11-02,600,615,590,610,56478200
2015-11-03,620,645,620,640,47294000
2015-11-04,650,660,645,655,27079600
2015-11-05,650,655,625,630,23635000
2015-11-06,640,645,620,620,16882600
2015-11-09,630,640,615,615,33695000
2015-11-10,615,635,610,610,21585100
2015-11-11,615,645,605,640,55608800
2015-11-12,640,645,610,610,30923600
2015-11-13,600,610,580,580,41801100
2015-11-16,575,575,555,560,33624400
2015-11-17,570,575,555,555,32827500
2015-11-18,560,580,555,575,50065700
2015-11-19,585,605,585,600,38095700
2015-11-20,605,605,585,585,24639500
2015-11-23,595,595,570,570,16615200
2015-11-24,560,580,560,565,26456300
2015-11-25,565,585,565,585,29068300
2015-11-26,590,595,580,585,33676700
2015-11-27,585,585,565,565,13492100
2015-11-30,555,565,525,550,97767700
2015-12-01,555,560,540,545,29597500
2015-12-02,550,550,530,540,30631900
2015-12-03,535,535,525,535,23564400
2015-12-04,525,540,520,525,38775500
2015-12-07,525,530,510,510,25420300
2015-12-08,500,515,490,490,51571400
2015-12-10,490,498,472,475,57739100
