Date,Open,High,Low,Close,Volume
2015-07-06,5575,5750,5500,5500,6105300
2015-07-07,5450,5675,5425,5550,6993400
2015-07-08,5550,5550,5425,5425,6441000
2015-07-09,5375,5425,5250,5350,8690900
2015-07-10,5350,5525,5300,5300,10300300
2015-07-13,5325,5400,5200,5225,9417800
2015-07-14,5300,5500,5300,5425,11404300
2015-07-15,5475,5625,5450,5550,7504600
2015-07-22,5600,5850,5600,5750,9327500
2015-07-23,5750,5850,5750,5825,8258800
2015-07-24,5850,5925,5825,5875,6191300
2015-07-27,5800,5900,5700,5900,6903900
2015-07-28,5900,6025,5700,6025,9369300
2015-07-29,6025,6100,5900,5900,8406900
2015-07-30,5900,6000,5700,5800,7073200
2015-07-31,5800,5900,5700,5750,6219200
2015-08-03,5750,5775,5650,5675,7568600
2015-08-04,5575,5725,5550,5700,10874900
2015-08-05,5725,5950,5725,5925,7638100
2015-08-06,5950,6000,5850,5900,6307400
2015-08-07,5900,5925,5825,5900,3543400
2015-08-10,5825,5825,5700,5750,7229700
2015-08-11,5750,5800,5675,5725,5988800
2015-08-12,5625,5700,5500,5650,8381900
2015-08-13,5700,5800,5675,5775,10848000
2015-08-14,5775,5775,5400,5625,11732700
2015-08-18,5625,5675,5500,5550,6432800
2015-08-19,5600,5625,5525,5575,5275200
2015-08-20,5525,5625,5525,5550,6441200
2015-08-21,5550,5575,5500,5500,5599600
2015-08-24,5400,5625,5225,5600,7917600
2015-08-25,5500,5575,5425,5425,7965200
2015-08-26,5400,5500,5250,5400,10011100
2015-08-27,5450,5900,5450,5725,10523700
2015-08-28,5800,6000,5800,6000,8152300
2015-08-31,6000,6100,5950,6075,4526200
2015-09-01,6075,6075,5725,5800,5335300
2015-09-02,5750,5950,5725,5750,4416100
2015-09-03,5800,5875,5625,5700,5386000
2015-09-04,5700,5700,5500,5525,7381500
2015-09-07,5525,5600,5500,5500,4744700
2015-09-08,5500,5725,5500,5675,9998900
2015-09-09,5725,5900,5725,5800,9029700
2015-09-10,5775,5950,5675,5775,9116000
2015-09-11,5700,5800,5600,5625,7471300
2015-09-14,5650,5850,5650,5750,5701100
2015-09-15,5700,5700,5550,5575,5538500
2015-09-16,5700,5700,5550,5575,5618100
2015-09-17,5600,5775,5600,5775,6567500
2015-09-18,5800,5875,5750,5750,9141800
2015-09-21,5700,5775,5625,5725,5225400
2015-09-22,5775,5900,5775,5900,6113800
2015-09-23,5800,5850,5700,5800,9193600
2015-09-25,5850,6025,5850,6000,7633600
2015-09-28,6000,6000,5850,5875,9829700
2015-09-29,5875,5950,5750,5950,7876700
2015-09-30,5850,5950,5750,5850,9742500
2015-10-01,5850,5850,5725,5775,6581000
2015-10-02,5775,5825,5725,5775,10857000
2015-10-05,5775,5850,5675,5850,10219700
