Date,Open,High,Low,Close,Volume
2015-07-06,566,566,558,558,2313516
2015-07-07,554,558,550,550,3800461
2015-07-08,545,550,520,524,10658865
2015-07-09,520,524,508,520,3959394
2015-07-10,516,533,516,520,2524117
2015-07-13,524,524,516,516,1588139
2015-07-14,516,529,512,516,3494739
2015-07-15,516,516,508,512,1370871
2015-07-22,508,508,495,499,2749361
2015-07-23,499,508,495,499,4154162
2015-07-24,495,499,487,491,4179162
2015-07-27,482,482,461,461,10243377
2015-07-28,457,457,436,445,12739041
2015-07-29,449,453,440,440,7462824
2015-07-30,440,449,409,411,27731359
2015-07-31,411,413,398,398,28336733
2015-08-03,403,416,397,402,31013711
2015-08-04,406,499,404,499,127686614
2015-08-05,512,550,503,508,135088008
2015-08-06,512,545,491,516,85386638
2015-08-07,516,529,499,503,23157304
2015-08-10,508,516,491,491,18531463
2015-08-11,499,508,457,461,54651625
2015-08-12,461,461,428,428,24647584
2015-08-13,440,466,440,457,43176904
2015-08-14,461,461,440,445,11349479
2015-08-18,449,449,432,432,9662885
2015-08-19,432,449,432,449,9388711
2015-08-20,453,453,436,445,7571994
2015-08-21,436,440,419,424,14521590
2015-08-24,394,415,377,394,20990102
2015-08-25,377,440,377,419,61984089
2015-08-26,419,428,402,419,23998161
2015-08-27,424,445,424,440,39593353
2015-08-28,457,457,411,412,73093442
2015-08-31,409,428,407,419,28125656
2015-09-01,418,424,413,416,17009754
2015-09-02,416,424,413,413,21309158
2015-09-03,415,419,413,413,11635796
2015-09-04,414,419,405,406,10968040
2015-09-07,411,411,398,400,4548101
2015-09-08,398,410,394,405,8889768
2015-09-09,408,416,404,414,17822276
2015-09-10,411,411,404,404,6254934
2015-09-11,407,424,407,407,36223022
2015-09-14,411,414,405,405,12273195
2015-09-15,404,407,400,400,5246096
2015-09-16,404,404,399,400,5162166
2015-09-17,400,414,400,405,15853770
2015-09-18,407,409,398,403,39220128
2015-09-21,403,403,398,403,4505838
2015-09-22,403,411,399,401,12025926
2015-09-23,401,449,399,428,119492578
2015-09-25,432,453,424,428,45404822
2015-09-28,428,432,404,404,29697604
2015-09-29,404,407,390,399,22153824
2015-09-30,403,428,398,408,43977878
2015-10-01,411,428,407,408,74914564
2015-10-02,408,417,403,404,35827773
2015-10-05,409,413,404,404,40704812
2015-10-06,411,432,407,414,151933115
2015-10-07,418,419,398,400,90765001
2015-10-08,402,413,398,402,45096123
2015-10-09,407,410,402,404,36799942
2015-10-12,409,436,404,436,134749189
2015-10-13,440,453,428,432,108332390
2015-10-15,440,445,414,424,114395771
2015-10-16,440,449,425,433,129249400
2015-10-19,436,436,423,424,51600700
2015-10-20,428,431,420,424,49671500
2015-10-21,420,436,420,429,92644500
2015-10-22,423,425,390,391,409924600
2015-10-23,387,400,380,397,332195700
2015-10-26,405,405,383,386,406350500
2015-10-27,386,388,381,381,302701600
2015-10-28,381,396,376,394,720207900
2015-10-29,400,400,376,377,485085100
2015-10-30,375,384,372,378,182903400
2015-11-02,373,376,354,359,327767900
2015-11-03,360,370,353,359,296208200
2015-11-04,361,366,355,356,190537000
2015-11-05,359,363,353,353,124761200
2015-11-06,353,361,353,355,101244200
2015-11-09,355,358,336,337,167618600
2015-11-10,335,350,329,342,271625100
2015-11-11,345,346,332,333,121115200
2015-11-12,333,337,325,326,122667400
2015-11-13,325,326,317,319,152795200
2015-11-16,317,319,311,313,80733200
2015-11-17,316,321,311,311,84094200
2015-11-18,314,319,306,308,91520100
2015-11-19,312,379,309,372,486667100
2015-11-20,373,380,346,347,518725900
2015-11-23,348,361,344,349,251767800
2015-11-24,349,361,345,354,268731100
2015-11-25,357,363,355,357,180306300
2015-11-26,358,360,352,352,86910700
2015-11-27,354,355,335,338,136904000
2015-11-30,334,335,315,315,140048700
2015-12-01,317,324,315,318,53602800
2015-12-02,320,337,319,332,134764100
2015-12-03,330,331,321,323,57462400
2015-12-04,323,327,318,321,31459900
2015-12-07,325,328,320,321,54756100
2015-12-08,320,320,311,312,61456100
2015-12-10,312,314,301,303,46920300
2015-12-11,303,304,295,295,53848100
2015-12-14,290,294,285,287,35165300
2015-12-15,290,295,286,289,44956800
2015-12-16,291,308,291,303,88748300
2015-12-17,309,312,303,304,99791900
2015-12-18,302,307,298,301,32061200
2015-12-21,305,310,298,306,47135700
2015-12-22,308,316,306,307,96227700
2015-12-23,310,312,302,304,29679300
2015-12-28,304,309,304,305,104481700
2015-12-29,303,321,303,321,141364500
2015-12-30,323,326,314,314,130446500
2016-01-04,315,315,296,296,96322900
2016-01-05,297,305,297,302,40252100
2016-01-06,303,307,298,300,79060500
2016-01-07,298,301,294,294,60458100
2016-01-08,292,302,292,299,43796800
2016-01-11,299,308,296,303,105459000
2016-01-12,305,306,300,302,78989700
2016-01-13,307,307,301,301,31152000
2016-01-14,297,328,294,310,477566600
2016-01-15,313,322,312,315,162684600
2016-01-18,310,320,310,314,56490100
2016-01-19,315,319,313,314,62437900
2016-01-20,313,315,304,304,83417500
2016-01-21,305,313,301,304,62812300
2016-01-22,306,311,304,308,46735900
2016-01-25,310,315,308,311,64086200
2016-01-26,311,320,309,314,140885900
2016-01-27,318,331,318,325,327942900
2016-01-28,325,332,322,323,155592100
2016-01-29,325,335,324,329,210456000
2016-02-01,334,335,328,332,104508600
2016-02-02,333,344,331,338,168409500
2016-02-03,336,345,334,342,125354100
2016-02-04,345,352,345,349,132358600
2016-02-05,352,357,340,342,173114900
2016-02-09,343,350,341,344,76303600
2016-02-10,345,347,335,344,88723300
2016-02-11,346,353,345,353,192928300
2016-02-12,355,360,351,352,87018600
2016-02-15,355,362,353,362,133681100
2016-02-16,365,367,359,363,90149700
2016-02-17,366,366,361,363,46310200
2016-02-18,365,372,362,366,120929200
2016-02-19,369,373,357,369,209251000
2016-02-22,371,372,367,369,42120400
2016-02-23,371,372,358,360,75692200
2016-02-24,360,369,356,365,86521500
2016-02-25,368,373,365,372,141657000
2016-02-26,374,375,367,369,68140700
2016-02-29,370,371,364,364,39757400
